Name,Phone Number,Feedback,Message,Timestamp,Duration(s),Initial Spoken To,Follow-up Status,Followup Message,Followup Timestamp,Follow-up Count,Follow-up Spoken To
Shakthi Narthanalaya - Bharathanatyam | Carnatic Music | Drawing Class in Perambur,9840797879,Not Picked,,07-05-2025 09:53,73,,Not Picked,,09-06-2025 14:52,83,
Kalavatara | Bharatanatyam | Carnatic vocal,9962001170,Not Picked,,07-05-2025 10:01,463,,Not Interested,,09-06-2025 14:54,161,
"VIJIíS ARTS ACADEMY (Bharathanatyam,Music,Western dance,keyboard,Guitar) Online &Offline",9626315801,Not Picked,,07-05-2025 10:02,42,,Not Interested,,09-06-2025 14:55,42,
Groovy fox LGF Dance Music studio,7904799211,Not Picked,,07-05-2025 10:04,116,,Not Picked,,09-06-2025 14:58,153,
Kowsika Academy,9094666678,Not Picked,,07-05-2025 10:05,55,,Not Interested,no requirement if need will call,09-06-2025 15:01,175,
Sree Nirthyapriya Temple Of Arts,9940407464,Not Picked,,07-05-2025 10:06,58,,Not Picked,,09-06-2025 15:19,1102,
Chandhus Natyalaya,9840256106,Not Picked,,07-05-2025 10:06,37,,Not Picked,,09-06-2025 15:20,30,
Saraswathy Kala Kendra,9840166155,Not Picked,,07-05-2025 10:09,146,,Not Interested,no requirement,09-06-2025 15:21,63,
Geethishriya Academy ( Dance & Music),8754178617,Not Picked,,07-05-2025 10:09,23,,Not Picked,,09-06-2025 15:21,17,
Shree Music Academy - Kundrathur (Music and Dance),7305104106,Not Picked,,07-05-2025 10:18,503,,Not Picked,,09-06-2025 15:23,67,
Viva Academy,8248070140,Not Interested,,07-05-2025 10:20,131,,,,,0,
Rhythm Rehearsal Studio,9962258845,Not Picked,,07-05-2025 10:22,87,,Not Picked,,09-06-2025 15:23,26,
CRE8TIVE CORNER & C8C DANCE STUDIO ( Bharatanatyam & Western Dance & Music School ),9087042655,Not Picked,,07-05-2025 10:22,24,,Not Picked,line busy,09-06-2025 15:24,34,
"Arudhralayam Academy of Dance (Bharatanatyam) - Classical Dance, Drawing class, Carnatic music Class",9791103129,Not Picked,,07-05-2025 10:23,21,,Not Interested,no requirement,09-06-2025 15:25,46,
Creative Music Academy,9884727458,Not Interested,,07-05-2025 10:24,59,,,,,0,
Kalasrushti Vidhyalaya,6369081007,Follow Up,,07-05-2025 10:25,75,,Not Picked,,27-06-2025 17:35,50,
Tamil Dance Studio,9840413228,Not Picked,,07-05-2025 10:26,50,,Not Picked,,09-06-2025 15:34,547,
Sri Hayagrivar arts and cultural Academy Porur Garden,9840744266,Not Picked,,07-05-2025 10:27,67,,Not Picked,,18-06-2025 12:04,60,
Sabtha Salangai Academy,9003073718,Not Picked,,07-05-2025 10:28,75,,Not Interested,,09-06-2025 15:42,245,
